"details","numbers","time"
"Total domains renewed within 30 Days","2408","1473426011.31559"
"Total domains","61548","1473433206.89069"
"Total domains registered within 24 hours","88","1473433206.89069"
"Total domains registered within 30 Days","2189","1473433206.89069"
"Total domains renewed within 24 Hours","86","1473433206.89069"
"Total domains renewed within 30 Days","2395","1473433206.89069"
"Total domains","61559","1473440406.60705"
"Total domains registered within 24 hours","90","1473440406.60705"
"Total domains registered within 30 Days","2193","1473440406.60705"
"Total domains renewed within 24 Hours","97","1473440406.60705"
"Total domains renewed within 30 Days","2368","1473440406.60705"
"Total domains","61566","1473447607.06971"
"Total domains registered within 24 hours","93","1473447607.06971"
"Total domains registered within 30 Days","2199","1473447607.06971"
"Total domains renewed within 24 Hours","93","1473447607.06971"
"Total domains renewed within 30 Days","2364","1473447607.06971"
"Total domains","61568","1473454807.46986"
"Total domains registered within 24 hours","90","1473454807.46986"
"Total domains registered within 30 Days","2196","1473454807.46986"
"Total domains renewed within 24 Hours","92","1473454807.46986"
"Total domains renewed within 30 Days","2363","1473454807.46986"
"Total domains","61568","1473462006.75554"
"Total domains registered within 24 hours","90","1473462006.75554"
"Total domains registered within 30 Days","2196","1473462006.75554"
"Total domains renewed within 24 Hours","92","1473462006.75554"
"Total domains renewed within 30 Days","2363","1473462006.75554"
"Total domains","61569","1473469206.75223"
"Total domains registered within 24 hours","90","1473469206.75223"
"Total domains registered within 30 Days","2197","1473469206.75223"
"Total domains renewed within 24 Hours","92","1473469206.75223"
"Total domains renewed within 30 Days","2362","1473469206.75223"
"Total domains","61518","1473476406.48426"
"Total domains registered within 24 hours","90","1473476406.48426"
"Total domains registered within 30 Days","2197","1473476406.48426"
"Total domains renewed within 24 Hours","92","1473476406.48426"
"Total domains renewed within 30 Days","2362","1473476406.48426"
"Total domains","61518","1473483606.52931"
"Total domains registered within 24 hours","87","1473483606.52931"
"Total domains registered within 30 Days","2195","1473483606.52931"
"Total domains renewed within 24 Hours","91","1473483606.52931"
"Total domains renewed within 30 Days","2356","1473483606.52931"
"Total domains","61520","1473490806.3472"
"Total domains registered within 24 hours","83","1473490806.3472"
"Total domains registered within 30 Days","2183","1473490806.3472"
"Total domains renewed within 24 Hours","88","1473490806.3472"
"Total domains renewed within 30 Days","2350","1473490806.3472"
"Total domains","61530","1473498006.46645"
"Total domains registered within 24 hours","83","1473498006.46645"
"Total domains registered within 30 Days","2183","1473498006.46645"
"Total domains renewed within 24 Hours","71","1473498006.46645"
"Total domains renewed within 30 Days","2331","1473498006.46645"
"Total domains","61536","1473505206.99289"
"Total domains registered within 24 hours","72","1473505206.99289"
"Total domains registered within 30 Days","2176","1473505206.99289"
"Total domains renewed within 24 Hours","63","1473505206.99289"
"Total domains renewed within 30 Days","2330","1473505206.99289"
"Total domains","61547","1473512406.47035"
"Total domains registered within 24 hours","68","1473512406.47035"
"Total domains registered within 30 Days","2166","1473512406.47035"
"Total domains renewed within 24 Hours","57","1473512406.47035"
"Total domains renewed within 30 Days","2319","1473512406.47035"
"Total domains","61552","1473519606.5349"
"Total domains registered within 24 hours","55","1473519606.5349"
"Total domains registered within 30 Days","2158","1473519606.5349"
"Total domains renewed within 24 Hours","46","1473519606.5349"
"Total domains renewed within 30 Days","2314","1473519606.5349"
"Total domains","61554","1473526806.18599"
"Total domains registered within 24 hours","46","1473526806.18599"
"Total domains registered within 30 Days","2150","1473526806.18599"
"Total domains renewed within 24 Hours","28","1473526806.18599"
"Total domains renewed within 30 Days","2303","1473526806.18599"
"Total domains","61555","1473534006.20991"
"Total domains registered within 24 hours","40","1473534006.20991"
"Total domains registered within 30 Days","2137","1473534006.20991"
"Total domains renewed within 24 Hours","25","1473534006.20991"
"Total domains renewed within 30 Days","2298","1473534006.20991"
"Total domains","61561","1473541206.7061"
"Total domains registered within 24 hours","44","1473541206.7061"
"Total domains registered within 30 Days","2142","1473541206.7061"
"Total domains renewed within 24 Hours","25","1473541206.7061"
"Total domains renewed within 30 Days","2296","1473541206.7061"
"Total domains","61561","1473548407.32064"
"Total domains registered within 24 hours","44","1473548407.32064"
"Total domains registered within 30 Days","2142","1473548407.32064"
"Total domains renewed within 24 Hours","25","1473548407.32064"
"Total domains renewed within 30 Days","2292","1473548407.32064"
"Total domains","61561","1473555606.5197"
"Total domains registered within 24 hours","43","1473555606.5197"
"Total domains registered within 30 Days","2141","1473555606.5197"
"Total domains renewed within 24 Hours","25","1473555606.5197"
"Total domains renewed within 30 Days","2291","1473555606.5197"
"Total domains","61505","1473562807.02108"
"Total domains registered within 24 hours","43","1473562807.02108"
"Total domains registered within 30 Days","2140","1473562807.02108"
"Total domains renewed within 24 Hours","25","1473562807.02108"
"Total domains renewed within 30 Days","2289","1473562807.02108"
"Total domains","61506","1473570005.79919"
"Total domains registered within 24 hours","44","1473570005.79919"
"Total domains registered within 30 Days","2140","1473570005.79919"
"Total domains renewed within 24 Hours","25","1473570005.79919"
"Total domains renewed within 30 Days","2288","1473570005.79919"
"Total domains","61507","1473577206.64407"
"Total domains registered within 24 hours","43","1473577206.64407"
"Total domains registered within 30 Days","2131","1473577206.64407"
"Total domains renewed within 24 Hours","21","1473577206.64407"
"Total domains renewed within 30 Days","2280","1473577206.64407"
"Total domains","61510","1473584405.82145"
"Total domains registered within 24 hours","36","1473584405.82145"
"Total domains registered within 30 Days","2126","1473584405.82145"
"Total domains renewed within 24 Hours","18","1473584405.82145"
"Total domains renewed within 30 Days","2269","1473584405.82145"
"Total domains","61516","1473591606.14903"
"Total domains registered within 24 hours","36","1473591606.14903"
"Total domains registered within 30 Days","2120","1473591606.14903"
"Total domains renewed within 24 Hours","11","1473591606.14903"
"Total domains renewed within 30 Days","2262","1473591606.14903"
"Total domains","61519","1473598806.45851"
"Total domains registered within 24 hours","28","1473598806.45851"
"Total domains registered within 30 Days","2111","1473598806.45851"
"Total domains renewed within 24 Hours","9","1473598806.45851"
"Total domains renewed within 30 Days","2249","1473598806.45851"
"Total domains","61523","1473606006.56747"
"Total domains registered within 24 hours","27","1473606006.56747"
"Total domains registered within 30 Days","2099","1473606006.56747"
"Total domains renewed within 24 Hours","10","1473606006.56747"
"Total domains renewed within 30 Days","2239","1473606006.56747"
"Total domains","61524","1473613206.37166"
"Total domains registered within 24 hours","26","1473613206.37166"
"Total domains registered within 30 Days","2091","1473613206.37166"
"Total domains renewed within 24 Hours","10","1473613206.37166"
"Total domains renewed within 30 Days","2238","1473613206.37166"
"Total domains","61528","1473620406.63703"
"Total domains registered within 24 hours","29","1473620406.63703"
"Total domains registered within 30 Days","2091","1473620406.63703"
"Total domains renewed within 24 Hours","10","1473620406.63703"
"Total domains renewed within 30 Days","2235","1473620406.63703"
"Total domains","61529","1473627606.74144"
"Total domains registered within 24 hours","24","1473627606.74144"
"Total domains registered within 30 Days","2091","1473627606.74144"
"Total domains renewed within 24 Hours","10","1473627606.74144"
"Total domains renewed within 30 Days","2232","1473627606.74144"
"Total domains","61529","1473634806.56904"
"Total domains registered within 24 hours","24","1473634806.56904"
"Total domains registered within 30 Days","2091","1473634806.56904"
"Total domains renewed within 24 Hours","11","1473634806.56904"
"Total domains renewed within 30 Days","2231","1473634806.56904"
"Total domains","61529","1473642006.73021"
"Total domains registered within 24 hours","24","1473642006.73021"
"Total domains registered within 30 Days","2091","1473642006.73021"
"Total domains renewed within 24 Hours","11","1473642006.73021"
"Total domains renewed within 30 Days","2231","1473642006.73021"
"Total domains","61476","1473649206.29918"
"Total domains registered within 24 hours","24","1473649206.29918"
"Total domains registered within 30 Days","2090","1473649206.29918"
"Total domains renewed within 24 Hours","11","1473649206.29918"
"Total domains renewed within 30 Days","2231","1473649206.29918"
"Total domains","61477","1473656407.3538"
"Total domains registered within 24 hours","24","1473656407.3538"
"Total domains registered within 30 Days","2091","1473656407.3538"
"Total domains renewed within 24 Hours","11","1473656407.3538"
"Total domains renewed within 30 Days","2231","1473656407.3538"
"Total domains","61479","1473663607.08389"
"Total domains registered within 24 hours","25","1473663607.08389"
"Total domains registered within 30 Days","2090","1473663607.08389"
"Total domains renewed within 24 Hours","15","1473663607.08389"
"Total domains renewed within 30 Days","2233","1473663607.08389"
